ID,Entrega,Sexo,Total,1,2,3,4,5,6,7,8,D1,D2.1,D2.2,D2.3
1,,M,3.5,0,0,0,0,1.5,0,0,0.5,0.5,0,0,1
2,,H,14.5,2,2,0,0,1,0,0,2,3.5,1,2,1
3,14,H,19,2,2,0,0,2,2,2,1,4,1,1,2
4,,H,17,2,2,0,2,1,2,0,0,4,1,2,1
5,,M,23,2,2,0,2,2,2,2,2,4,1,2,2
6,8,H,15,2,0,0,2,1,2,0,2,3,0,1,2
7,10,H,18,2,2,0,0,2,0,2,1,4,1,2,2
8,7,H,17,2,2,0,2,1,2,0,1,4,1,0,2
9,,H,17,0,2,0,2,2,2,0,1,4,0,2,2
10,15,H,16.5,2,2,0,2,1,2,0,1,2,0.5,2,2
11,20,M,21.5,2,2,0,2,2,2,2,2,3,0.5,2,2
12,16,H,23.5,2,2,2,2,1.5,2,2,2,3.5,0.5,2,2
13,19,H,13,2,2,0,0,2,0,0,1,3,1,1,1
14,6,H,16.5,2,0,2,2,0,2,0,0.5,4,1,1,2
15,18,H,18.5,2,2,0,0,1,2,2,1,3.5,1,2,2
16,9,H,20,2,2,0,2,2,2,0,1,4,1,2,2
17,,H,0,,,,,,,,,,,,
18,22,M,20,2,2,0,2,2,0,2,1,4,1,2,2
19,23,H,22.5,2,2,2,2,1,2,2,1.5,4,0,2,2
20,17,H,17.5,2,2,0,2,1.5,2,0,1,4,0,1,2
21,25,M,16,2,2,0,2,0,2,2,1,1,1,1,2
22,21,M,19.5,2,2,0,2,2,2,2,2,2.5,0,1,2
23,24,H,20,2,2,2,2,2,0,2,2,2,1,1,2
24,,H,16,2,2,2,2,2,0,2,2,0,1,0.5,0.5
25,11,H,17,2,2,0,0,2,2,0,1,4,1,1,2
26,,H,17,2,2,0,0,1,2,0,2,4,0,2,2
27,,M,14.5,2,0,2,2,1.5,2,0,1,2,0,1,1
28,,M,13,2,0,0,0,1,0,0,1,4,1,2,2
