ID,Sexo,Entrega,Total,Codificación/4,Errores/3,Código/3,Resolución/10,Reporte/5,Impuntualidad,Lectura
1,M,,0.00,1,0,0,0,0,,-1
2,H,1,25.00,4,3,3,10,5,,
3,H,,0.00,,,,,,,
4,H,26,9.00,4,0,2,0,4,-1,
5,M,,25.00,4,3,3,10,5,,
6,H,23,12.50,3.5,3,3,0,4,-1,
7,H,9,7.00,3,2,0,0,3,,-1
8,H,21,8.50,2,2.5,1.5,0,3,-0.5,
9,H,,8.50,3,2,1,0,2.5,,
10,H,20,7.00,4,0,0,0,3,,
11,M,,11.00,4,0,2,0,5,,
12,H,,25.00,4,3,3,10,5,,
13,H,3,5.50,3,0,0,0,2.5,,
14,H,7,24.00,4,3,3,10,5,,-1
15,H,5,22.00,4,3,3,7,5,,
16,H,6,22.00,4,3,3,7,5,,
17,H,10,5.50,2.5,3,0,0,0,,
18,M,,13.50,3.5,3,3,0,4,,
19,H,,12.50,4,3,3,0,3.5,-1,
20,H,24,8.00,2,1,2,0,4,-1,
21,M,22,-2.00,0,0,0,0,0,-1,-1
22,M,12,13.00,4,3,1,0,5,,
23,H,11,13.00,4,2.5,2,0,4.5,,
24,H,,12.00,3,0,2,2,5,,
25,H,2,22.00,3,3,3,10,4,,-1
26,H,17,17.00,4,3,1,7,2,,
27,M,4,1.00,0,0,0,0,2,,-1
